Report generated on: 05-30-2026 14:38:45
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.44-2-WORL-QBTU.A","    Consumption (quad Btu)","280.9782285644381","277.2021893872863","277.1318915091104","280.3905011387946","293.62906752074804","301.6491816841749","308.08764762410533","318.60752306972444","331.04709748861035","336.69010350723283","337.99981265087183","337.882628933523","337.1456245286221","339.1468585116921","342.75222918429193","351.8242384808792","361.2982594635527","362.34669197224235","364.5252921853221","371.31037938975265","383.70865808758964","386.5921029592905","395.3047000514493","409.6533040277513","430.9586336259093","444.81275554402936","459.0505501150214","472.03733383730315","477.595403819105","471.8206998076592","503.1943935080227","516.6383601006316","526.097150940429","534.4333412236415","538.2782330943672","538.5048453060574","544.1037480688644","549.2968741567674","562.239780284653","570.5482664894645","546.5005909610844","573.0385950945312","579.3161461670951","592.0332447490251","606.037013293999"
"INTL.4411-2-WORL-QBTU.A","        Coal (quad Btu)","78.84551590296132","79.16573957089994","80.57297556605094","82.71340258340673","86.47313143805454","89.50989853927152","90.50805258289422","94.07382785251428","96.85974931807364","96.94528118156437","95.8463240916115","92.69230954547504","90.37591722278871","90.38471736712545","90.78894488052775","93.40090802401005","95.45775844606715","93.93882047693587","93.37181922110808","93.7740282851289","98.66587352261215","99.74737615962056","102.19299557404439","110.61984254164662","120.25290862482035","128.34395806523816","135.54184378193227","142.12851655494748","144.53871706895876","145.53167576842546","157.7405244411596","166.29631219774373","171.39874729572713","173.62325557908292","172.56743573294767","168.62188152774155","164.19104540957355","162.68962527970177","166.12131651452813","168.70049498126954","162.91693489778865","168.13725816833139","169.9659688460145","175.10264519715287","179.6540438797921"
"INTL.4413-2-WORL-QBTU.A","        Natural gas (quad Btu)","53.865223303","53.895423471","54.055255448","55.149772666","60.842896415","63.371661785","64.224390643","67.561969979","71.010048252","74.229726266","75.1232191863526","76.729898462955","77.11050758932","79.11024176793","79.00091895378","81.324420245955","83.19845674782","83.6992688324645","84.3733127522675","86.518865328148","89.60485067943","89.9313550030595","94.060202677925","96.78718448268","99.794809654715","102.60690568774","106.312122890923","109.720940385248","112.872765057765","109.14931366682482","119.42387934839795","122.99248610538244","125.80264763157163","127.65467615117959","128.14512471331605","130.05169300073453","132.69922920813946","136.75653216434367","143.83195859373004","146.09939355684898","144.77913354409134","151.7278737011075","150.24100595149793","152.0862623645619","155.4510097134598"
"INTL.4415-2-WORL-QBTU.A","        Petroleum and other liquids (quad Btu)","132.06401937163076","126.81113213676979","123.92428288938333","122.21533499685697","123.41709237538814","123.47159748556288","127.00641121864258","129.26577065229108","133.44845445479027","135.03680047363878","136.07236806946378","136.35549585944548","137.25986377384982","136.07229289152323","138.78390382201337","141.5470514882098","145.97630941389036","148.04874736474406","149.78518948768385","152.98869010058684","156.59347508135104","157.77857686408285","159.27600258479595","162.7008781961103","169.4965925585954","171.60845961581293","173.96220121936577","176.9581902283815","176.0655185605891","172.70086496891565","179.09620665243503","180.68962252560647","182.85761879730438","185.35520138535085","188.03213563583265","189.291458115214","194.85132616456946","195.83220213629605","196.06879859723574","197.13182251805225","179.6814362259226","191.14528665864208","195.63029425525983","199.3507825098376","201.3234359050793"
"INTL.4419-2-WORL-QBTU.A","        Nuclear, renewables, and other (quad Btu)","16.167101686846024","17.23948639661658","18.52014156967613","20.24232751353093","22.81541536630536","25.22222821334049","26.30349015856852","27.6087109779191","29.651390108746458","30.48194350502967","31.00868082044394","32.101786802647496","32.361564340663556","33.55525799311341","34.076571233970824","35.47426512970436","36.58993365077518","36.603772535097924","36.95739921626263","37.994603005888905","38.80420042019648","39.179399394527636","39.82115256268397","39.714510144314346","41.54281751777849","42.480689741238294","43.609159244800345","43.72729471472613","44.82607850079211","45.32406653549325","47.975027988030085","47.72797453889899","47.079504516825814","48.92265213102813","50.693538264270884","51.70224493636735","53.636658761581934","55.334683310426","57.55447369615904","59.96746258229376","60.292191557281825","63.34554048345021","64.79196818032283","66.91188655147278","71.05010133466781"
"INTL.4417-2-WORL-QBTU.A","            Nuclear (quad Btu)","7.575901227970802","8.527382587804034","9.51382983625356","10.726581364243433","13.00519382917337","15.308681909625198","16.25970723143459","17.65800877733016","19.240301233048264","19.752576070433182","20.37094119571121","21.20100520276355","21.293920050511076","22.022581864145476","22.42026782489464","23.272314307686226","24.123040615847433","23.89499132337984","24.322625147887553","25.095674473461862","25.666141946907576","26.39748998062402","26.687819049077262","26.311143398441097","27.26505783364225","27.321171774746844","27.686572652162894","27.179389893989654","27.06762588992495","26.70659892418398","27.44284106839499","26.291400909842743","24.536389802426402","24.703320393984946","25.2843133062374","25.549742876122178","25.94584669339173","26.24296208216535","26.778403208543597","27.878531593857137","26.93083181264637","27.99580763104259","26.88554942795203","27.512072032650522","28.386236755999686"
"INTL.4418-2-WORL-QBTU.A","            Renewables and other (quad Btu)","8.591200458875221","8.712103808812545","9.00631173342257","9.515746149287498","9.810221537131989","9.913546303715291","10.043782927133929","9.950702200588939","10.411088875698193","10.729367434596485","10.637739624732726","10.900781599883949","11.06764429015248","11.53267612896793","11.656303409076186","12.201950822018134","12.466893034927747","12.708781211718085","12.634774068375076","12.898928532427043","13.138058473288906","12.781909413903618","13.133333513606708","13.40336674587325","14.277759684136242","15.159517966491446","15.922586592637453","16.547904820736473","17.758452610867156","18.617467611309273","20.532186919635098","21.43657362905625","22.543114714399408","24.219331737043184","25.409224958033487","26.152502060245173","27.69081206819021","29.09172122826065","30.77607048761545","32.08893098843662","33.36135974463546","35.34973285240762","37.9064187523708","39.39981451882226","42.66386457866813"
"","Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.44-2-AFG-QBTU.A","    Consumption (quad Btu)","0.021623379039525804","0.02487299685230901","0.02691921753502001","0.03371932721274509","0.03388215161814592","0.03285812035270285","0.034096057564474","0.05776797276610097","0.10607836388067364","0.10409964479418723","0.10303600851160781","0.0426409024944082","0.028003942745451902","0.0278272098189226","0.026857006900823294","0.02250573161780134","0.022359262563138943","0.021483511863717036","0.02100409774778822","0.0209832797731383","0.018042878042735834","0.012450842992507745","0.011357232190593392","0.013540178735882941","0.01268248897652969","0.017109714255154958","0.022283409497314822","0.02647234187429811","0.05131880021357991","0.08618441031783047","0.11001940211239905","0.1412329932287828","0.13314562321844212","0.10874241251994606","0.09086607207563363","0.10561779349666074","0.09579705898701933","0.12460259385095449","0.15863903767372578","0.1607512187612526","0.1600695111462384","0.16231321419384065","0.15390919916172927","0.1374460201788536","0.13461776825384902"
